,zone,calendar_week,idle_hours
0,v103_h168,1,6.686944444444444
1,v103_h168,2,0.7443285308421539
2,v103_h168,3,0.9900260283858704
3,v103_h168,4,1.2639091077412037
4,v103_h168,5,7.081111111111111
5,v103_h168,6,6.931527777777778
6,v103_h168,7,1.1880338512459516
7,v103_h168,8,0.8117258373341506
8,v103_h168,9,1.147940147768958
9,v103_h168,10,5.851944444444444
10,v103_h168,11,0.7047022878478157
11,v103_h168,12,1.4717441849939894
12,v103_h168,13,0.9862311800857378
13,v103_h168,14,1.5072342551098727
14,v103_h168,15,0.5541213500403014
15,v103_h168,16,1.2443216793024745
16,v103_h168,17,1.3090881515711137
17,v103_h168,18,0.8064714330967918
18,v103_h168,19,1.509401415726546
19,v103_h168,20,0.50998658509117
20,v103_h168,21,0.9903108757826258
21,v103_h168,22,4.261666666666667
22,v103_h168,23,1.4352393626590056
23,v103_h168,24,0.7549728100538924
24,v103_h168,25,0.4505113969002956
25,v103_h168,26,3.4675
26,v103_h168,27,1.2684656167804202
27,v103_h168,28,1.2963097450186298
28,v103_h168,29,1.4207106056693075
29,v103_h168,30,1.0447139255302664
30,v103_h168,31,1.010751355455751
31,v103_h168,32,1.4924135417467252
32,v103_h168,33,4.922777777777778
33,v103_h168,34,1.1529016368917495
34,v103_h168,35,0.2790509539753101
35,v103_h168,36,1.0584510482198608
36,v103_h168,37,1.689815406309063
37,v103_h168,38,0.685238664545831
38,v103_h168,39,0.7312413637215603
39,v103_h168,40,1.1523938166451335
40,v103_h168,41,0.9229786145142184
41,v103_h168,42,0.6338146060373693
42,v103_h168,43,1.1586319953533004
43,v103_h168,44,1.1396204338560052
44,v103_h168,45,1.1014559259056005
45,v103_h168,46,0.6557832600786725
46,v103_h168,47,1.2295109978991277
47,v103_h168,48,1.0943979467274922
48,v103_h168,49,0.810020188713973
49,v103_h168,50,0.5058048639375462
50,v103_h168,51,0.5225666874229258
51,v109_h169,1,4.145277777777777
52,v109_h169,2,23.58805555555556
53,v109_h169,3,0.8007744899007366
54,v109_h169,4,7.988333333333333
55,v109_h169,5,1.4552537499999592
56,v109_h169,6,19.600277777777777
57,v109_h169,7,0.5680719461937345
58,v109_h169,8,9.913611111111113
59,v109_h169,9,0.5940023334549801
60,v109_h169,10,7.105486111111111
61,v109_h169,11,1.0859182925260962
62,v109_h169,12,0.8022839582349635
63,v109_h169,13,0.8716706292242851
64,v109_h169,14,8.244027777777777
65,v109_h169,15,2.7444444444444445
66,v109_h169,16,9.737777777777778
67,v109_h169,17,10.35
68,v109_h169,18,0.9275531141982908
69,v109_h169,19,15.071527777777778
70,v109_h169,20,13.918055555555556
71,v109_h169,21,1.4894203435790965
72,v109_h169,22,12.55638888888889
73,v109_h169,23,3.400555555555556
74,v109_h169,24,14.58
75,v109_h169,25,1.6550369149356592
76,v109_h169,26,34.76763888888889
77,v109_h169,27,15.146250000000002
78,v109_h169,28,0.2353546734972131
79,v109_h169,29,7.299444444444444
80,v109_h169,30,8.459861111111111
81,v109_h169,31,18.06597222222222
82,v109_h169,32,10.345
83,v109_h169,33,0.4304269534328222
84,v109_h169,34,14.17361111111111
85,v109_h169,35,0.6082141480740716
86,v109_h169,36,4.620277777777778
87,v109_h169,37,2.5702777777777777
88,v109_h169,38,32.190694444444446
89,v109_h169,39,19.109166666666667
90,v109_h169,40,2.631388888888889
91,v109_h169,41,1.168219840779659
92,v109_h169,42,7.225833333333333
93,v109_h169,43,1.374870621057874
94,v109_h169,44,11.7075
95,v109_h169,45,11.355555555555556
96,v109_h169,46,4.9
97,v109_h169,47,11.535277777777775
98,v109_h169,48,8.235694444444444
99,v109_h169,49,13.803888888888888
100,v109_h169,50,11.420555555555556
101,v109_h169,51,1.4307148386388229
102,v110_h158,1,10.422777777777778
103,v110_h158,2,9.353518518518518
104,v110_h158,3,0.8101823470841768
105,v110_h158,4,3.846388888888889
106,v110_h158,5,3.3430555555555554
107,v110_h158,6,6.086875
108,v110_h158,7,0.9781357379199642
109,v110_h158,8,1.2830330188567824
110,v110_h158,9,1.3868561370178232
111,v110_h158,10,6.474944444444444
112,v110_h158,11,1.2871058648340048
113,v110_h158,12,0.663300009186786
114,v110_h158,13,13.620416666666666
115,v110_h158,14,6.706111111111111
116,v110_h158,15,13.166999999999998
117,v110_h158,16,19.79072916666667
118,v110_h158,17,16.58175347222222
119,v110_h158,18,10.17595238095238
120,v110_h158,19,8.461136363636363
121,v110_h158,20,0.5985820716956503
122,v110_h158,21,13.767480158730155
123,v110_h158,22,12.660555555555556
124,v110_h158,23,11.609694444444443
125,v110_h158,24,12.866215277777776
126,v110_h158,25,22.846686507936507
127,v110_h158,26,18.59090277777778
128,v110_h158,27,10.124513888888888
129,v110_h158,28,5.477388888888889
130,v110_h158,29,9.076458333333331
131,v110_h158,30,8.434722222222222
132,v110_h158,31,13.736296296296295
133,v110_h158,32,24.99619047619048
134,v110_h158,33,22.40244444444445
135,v110_h158,34,9.896840277777777
136,v110_h158,35,8.687962962962963
137,v110_h158,36,16.84661111111111
138,v110_h158,37,13.556041666666667
139,v110_h158,38,8.32174603174603
140,v110_h158,39,7.307291666666666
141,v110_h158,40,5.413333333333333
142,v110_h158,41,7.059833333333335
143,v110_h158,42,0.8406513136319052
144,v110_h158,43,0.8965436466607642
145,v110_h158,44,12.659166666666666
146,v110_h158,45,9.863015873015874
147,v110_h158,46,11.48625
148,v110_h158,47,0.8347090398138497
149,v110_h158,48,1.507533078314375
150,v110_h158,49,14.950277777777778
151,v110_h158,50,7.3291666666666675
